商家类型,月份,性别,学位,成交笔数,成交额
咖啡,1,男,本科,1309,2115240
咖啡,1,男,博士,249,407710
咖啡,1,男,硕士,367,674530
咖啡,1,女,本科,2368,3477170
咖啡,1,女,博士,183,297240
咖啡,1,女,硕士,452,743330
咖啡,1,男,,1925,3197480
咖啡,1,女,,3003,4517740
咖啡,1,,本科,4986,7707650
咖啡,1,,博士,681,1112660
咖啡,1,,硕士,1186,2092390
咖啡,9,男,本科,605,898600
咖啡,9,男,博士,35,52780
咖啡,9,男,硕士,59,116490
咖啡,9,女,本科,1189,1526060
咖啡,9,女,博士,32,45360
咖啡,9,女,硕士,88,116590
咖啡,,男,,699,1067870
咖啡,,女,,1309,1688010
咖啡,,,本科,1794,2424660
咖啡,,,博士,67,98140
咖啡,,,硕士,147,233080
咖啡,10,男,本科,1984,3008040
咖啡,10,男,博士,169,283230
咖啡,10,男,硕士,290,500470
咖啡,10,女,本科,3483,4524365
咖啡,10,女,博士,132,177890
咖啡,10,女,硕士,326,479810
咖啡,,男,,2443,3791740
咖啡,,女,,3941,5182065
咖啡,,,本科,5467,7532405
咖啡,,,博士,301,461120
咖啡,,,硕士,616,980280
咖啡,11,男,本科,2250,3418259
咖啡,11,男,博士,224,367620
咖啡,11,男,硕士,320,562080
咖啡,11,女,本科,3832,5251143
咖啡,11,女,博士,162,240230
咖啡,11,女,硕士,443,676370
咖啡,,男,,2794,4347959
咖啡,,女,,4437,6167743
咖啡,,,本科,6082,8669402
咖啡,,,博士,386,607850
咖啡,,,硕士,763,1238450
咖啡,12,男,本科,3028,5047120
咖啡,12,男,博士,300,525360
咖啡,12,男,硕士,502,903090
咖啡,12,女,本科,5177,7722170
咖啡,12,女,博士,253,436800
咖啡,12,女,硕士,639,1076070
咖啡,,男,,3830,6475570
咖啡,,女,,6069,9235040
咖啡,,,本科,8205,12769290
咖啡,,,博士,553,962160
咖啡,,,硕士,1141,1979160
面包,1,男,本科,3919,1702020
面包,1,男,博士,937,780070
面包,1,男,硕士,1456,1164640
面包,1,女,本科,1840,770760
面包,1,女,博士,414,384500
面包,1,女,硕士,735,628800
面包,9,男,本科,13883,5353350
面包,9,男,博士,1093,662120
面包,9,男,硕士,1711,1093664
面包,9,女,本科,4016,1513600
面包,9,女,博士,306,214240
面包,9,女,硕士,727,530910
面包,10,男,本科,9746,4303156
面包,10,男,博士,1248,938320
面包,10,男,硕士,2084,1514930
面包,10,女,本科,3726,1638060
面包,10,女,博士,434,386060
面包,10,女,硕士,904,728140
面包,11,男,本科,7893,3559576
面包,11,男,博士,1125,947208
面包,11,男,硕士,1830,1574480
面包,11,女,本科,3393,1527110
面包,11,女,博士,417,422720
面包,11,女,硕士,875,809760
面包,12,男,本科,8387,3723960
面包,12,男,博士,1096,959700
面包,12,男,硕士,1795,1541557
面包,12,女,本科,3784,1709050
面包,12,女,博士,434,418110
面包,12,女,硕士,792,758640
蔬果,1,男,本科,1499,1950410
蔬果,1,男,博士,933,1158860
蔬果,1,男,硕士,1436,1718660
蔬果,1,女,本科,1378,1752703
蔬果,1,女,博士,497,618220
蔬果,1,女,硕士,890,1041410
蔬果,9,男,本科,888,925710
蔬果,9,男,博士,9,10860
蔬果,9,男,硕士,7,7080
蔬果,9,女,本科,917,848280
蔬果,9,女,博士,2,2050
蔬果,9,女,硕士,16,15780
蔬果,10,男,本科,2684,2950664
蔬果,10,男,博士,1012,1194720
蔬果,10,男,硕士,1422,1531620
蔬果,10,女,本科,2546,2718060
蔬果,10,女,博士,557,603030
蔬果,10,女,硕士,1053,1106740
蔬果,11,男,本科,4179,4992445
蔬果,11,男,博士,1412,1622370
蔬果,11,男,硕士,2144,2269080
蔬果,11,女,本科,4097,4881210
蔬果,11,女,博士,869,993450
蔬果,11,女,硕士,1627,1668810
蔬果,12,男,本科,3904,4850418
蔬果,12,男,博士,1097,1362720
蔬果,12,男,硕士,1643,1892430
蔬果,12,女,本科,3767,4906255
蔬果,12,女,博士,596,746550
蔬果,12,女,硕士,1117,1298230